Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,37.00,38.65,33.03,33.75,389100,33.75
2015-02-12,35.08,35.98,34.90,35.85,130700,35.85
2015-02-11,35.49,35.50,34.17,35.10,111500,35.10
2015-02-10,34.68,35.33,34.12,34.87,97800,34.87
2015-02-09,34.19,34.99,33.40,34.94,96100,34.94
2015-02-06,33.00,34.33,33.00,33.85,133800,33.85
2015-02-05,31.20,32.96,31.20,32.84,94000,32.84
2015-02-04,31.32,31.83,31.17,31.33,29800,31.33
2015-02-03,30.30,31.59,30.18,31.49,63300,31.49
2015-02-02,31.60,31.90,29.66,30.33,101700,30.33
2015-01-30,31.24,31.85,30.65,31.06,37100,31.06
2015-01-29,31.12,32.02,30.20,31.71,149400,31.71
2015-01-28,31.82,32.37,30.75,31.04,108900,31.04
2015-01-27,32.39,32.40,31.11,32.07,69900,32.07
2015-01-26,32.80,32.99,32.07,32.34,86400,32.34
2015-01-23,31.25,33.08,30.54,32.80,247900,32.80
2015-01-22,31.73,31.90,30.81,31.11,142000,31.11
2015-01-21,31.30,32.00,30.37,31.88,201700,31.88
2015-01-20,32.39,32.52,30.94,31.02,146700,31.02
2015-01-16,30.94,32.20,30.33,31.90,314200,31.90
2015-01-15,31.24,32.09,30.53,31.27,260300,31.27
2015-01-14,32.85,32.85,31.01,31.25,186600,31.25
2015-01-13,34.94,35.21,32.17,32.80,133100,32.80
2015-01-12,34.31,34.81,31.52,34.34,232500,34.34
2015-01-09,35.26,35.35,33.01,33.86,152800,33.86
2015-01-08,36.32,36.66,33.50,35.42,374700,35.42
2015-01-07,35.60,36.95,35.29,35.84,156600,35.84
2015-01-06,37.00,37.00,34.57,35.60,694800,35.60
2015-01-05,37.01,37.50,34.17,37.25,246000,37.25
2015-01-02,35.80,36.47,34.98,36.47,104500,36.47
2014-12-31,35.71,36.07,34.67,34.84,64000,34.84
2014-12-30,35.92,36.99,34.53,35.18,109900,35.18
2014-12-29,33.75,37.00,33.51,35.92,303100,35.92
2014-12-26,34.00,34.00,33.02,33.52,100000,33.52
2014-12-24,32.15,34.00,32.15,33.76,86700,33.76
2014-12-23,31.75,32.44,31.29,32.10,175000,32.10
2014-12-22,31.74,32.00,30.77,31.25,80700,31.25
2014-12-19,30.60,31.84,30.47,31.47,184900,31.47
2014-12-18,31.27,32.70,30.00,30.42,284300,30.42
2014-12-17,30.87,31.66,30.25,31.22,262100,31.22
2014-12-16,30.19,31.73,30.03,31.10,285500,31.10
2014-12-15,33.07,33.48,30.36,30.52,991600,30.52
2014-12-12,30.16,35.25,30.00,33.99,8341900,33.99
